Câu số,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng
1,Câu 1: Lập trình mạng phân tán là:,a. Lập trình mạng phân tán thường có 2 khái niệm chính  là: peer to peer và client - server.(1),b. Lập trình peer to peer là lập trình ngang hàng giữa 2 máy tính.(2),"c. Lập trình client – server là lập trình cho phép n máy client kết nối với m máy server, đây cũng là mô hình chúng ta sẽ gặp nhiều trong thực tế.(3)","d. Cả  1,2,3 đúng.",Đáp án: a
2,Câu 2:  Căn cứ theo mức độ thân thiện với developer và khả năng triển khai ta có thể chia lập trình mạng thành mấy cấp độ?,a. 3,b. 4,c. 2,d. 5,Đáp án : a
3,Câu 3: Căn cứ theo mức độ thân thiện với developer và khả năng triển khai ta có thể chia lập trình mạng thành?,a. Tất cả các ý trên.,b. Mức lập trình sử dụng socket.,"c. Mức lập trình sử dụng, triển khai ứng dụng theo mô hình dịch vụ (service).",d. Mức lập trình ứng dụng theo mô hình triển khai trên web.,Đáp án: a
4,Câu 4:  Định nghĩa về hệ phân tán phù hợp nhất với các hệ phân tán tốt nhất hiện nay la :,a.  Hệ phân tán là một tổ hợp các máy tình độc lập được sử dụng kết hợp để thực hiện một tác vụ hoặc để cung cấp một dịch vụ.(1),b. Hệ phân tán là một tổ hợp các máy tình độc lập mà đối với người dùng nó có vẻ như một hệ thống đơn nhất quán.(2),c. Cả 2 khái niệm (1) và (2) trên đều đúng.,d.  Cả 2 khái niệm (1) và (2) trên đều sai.,Đáp án: a
5,Câu 5: Theo Andrew Tanbaum thì hệ phân tán là:,a. Hệ phân tán là một tổ hợp các máy tình độc lập mà đối với người dùng nó có vẻ như một hệ thống đơn nhất quán.(1),b. Hệ phân tán là một tổ hợp các máy tình độc lập được sử dụng kết hợp để thực hiện một tác vụ hoặc để cung cấp một dịch vụ.(2),c. Cả 2 khái niệm (1) và (2) trên đều đúng.,d. Cả 2 khái niệm (1) và (2) trên đều sai.,Đáp án: a
6,Câu 6: Ưu điểm của hệ phân tán gồm :,"a. Chi phí, hiệu năng, khả năng mở rộng, độ tin cậy, tính phân tán cố hữu.","b. Hiệu năng, khả năng mở rộng, độ tin cậy, tính phân tán cố hữu, bảo mật.","c. Chi phí, hiệu năng, khả năng mở rộng, độ tin cậy, bảo mật.","d. Chi phí, hiệu năng, bảo mật, độ tin cậy, tính phân tán cố hữu.",Đáp án: a
7,Câu 7:  Nhược điển của hệ phân tán bao gồm :,"a. Thành phần mới, bảo mật, độ phức tạp.","b. Tính phân tán cố hữu, bảo mật, độ phức tạp.","c. Thành phần mới,độ phức tạp.","d. Bảo mật, độ phức tạp.",Đáp án: a
8,Câu 8: Hệ phấn tán có mấy mô hình ứng dụng ?,a. 5,b. 4,c. 6,d. 3,Đáp án: a
9,Câu 9: Các mô hình ứng dụng gồm :,"a. Mô hình tính toán tập trung, mô hình desktop, mô hình 2 lớp, mô hình 3 lớp, mô hình đa lớp.","b. Mô hình tính toán tập trung, mô hình desktop, mô hình 2 lớp, mô hình 3 lớp, mô hình đa lớp.","c. Mô hình tính toán tập trung, mô hình desktop, mô hình 2 lớp, mô hình đa lớp.","d. Mô hình tính toán tập trung, mô hình desktop, mô hình 2 lớp, mô hình 3 lớp.",Đáp án: a
10,Câu 10: Mô hình 3 lớp(3 - tier) được chia lần lượt thành các lớp :,"a. Presentation logic, Business logic, Data Access logic.","b. Business logic, Presentation logic, Data Access logic.","c. Presentation logic, Data Access logic, Business logic.","d. Data Access logic,Presentation logic,  Business logic.",Đáp án: a
